origintime,latitude,longitude,depth,magnitude
2014-04-24T09:06:52.600000Z,15.132,-70.165,83.2,1.7
2014-04-24T09:43:36.800000Z,15.65,-70.044,78.9,1.8
2014-04-25T03:05:56.400000Z,15.418,-68.73,50.3,2.3
2014-04-25T05:49:38.600000Z,19.255,-69.648,135.6,1.7
2014-04-25T10:20:44.600000Z,15.562,-69.608,105,1.9
2014-04-25T11:24:40.100000Z,18.541,-73.696,0,1.8
2014-04-25T15:06:59.500000Z,19.145,-73.431,0,1.9
2014-04-26T14:19:10.000000Z,15.964,-70.631,115.8,2.3
2014-04-29T14:37:26.300000Z,15.695,-69.972,86.4,1.4
2014-04-29T14:51:08.300000Z,15.505,-70.032,78.5,1.0
2014-04-29T14:53:57.400000Z,19.114,-68.23,3.8,0.9
2014-04-29T16:38:19.300000Z,15.225,-69.195,51.4,1.7
2014-04-29T18:38:08.700000Z,17.118,-67.618,275.5,2.2
2014-04-30T19:25:32.600000Z,19.034,-68.715,148,3.8
2014-05-01T12:23:14.300000Z,15.525,-68.759,15,3.5
2014-05-01T19:08:43.700000Z,18.451,-72.441,14.9,1.4
2014-05-01T20:23:03.700000Z,18.439,-72.377,24.2,0.8
2014-05-01T21:17:22.200000Z,18.45,-72.38,25,0.8
2014-05-01T22:19:46.200000Z,16.594,-69.059,15,3.9
2014-05-01T22:20:07.700000Z,15.402,-71.113,15,1.8
2014-05-02T21:12:05.200000Z,18.574,-73.081,12.1,3.0
2014-05-04T02:10:13.800000Z,15.32,-69.436,15,3.1
2014-05-05T09:39:28.800000Z,16.523,-67.754,15,3.5
2014-05-05T09:50:19.200000Z,16.089,-67.764,15,4.2
2014-05-05T19:56:49.500000Z,15.46,-70.102,15,4.1
2014-05-05T22:09:59.500000Z,18.507,-71.786,25.5,2.0
2014-05-06T00:23:30.000000Z,16.122,-71.457,154.7,3.4
2014-05-06T13:59:03.500000Z,15.964,-69.826,15,3.2
2014-05-07T00:29:57.200000Z,17.291,-67.671,172.6,3.9
2014-05-07T08:53:05.600000Z,15.937,-71.207,199.8,3.1
2014-05-07T12:32:42.400000Z,18.394,-72.369,20.6,2.4
2014-05-07T19:09:56.200000Z,19.945,-70.737,9,2.9
2014-05-07T22:35:11.500000Z,16.905,-69.048,15,3.5
2014-05-08T11:24:32.100000Z,16.38,-68.465,15,4.0
2014-05-08T16:08:53.700000Z,15.399,-68.852,15,3.3
2014-05-08T21:21:05.200000Z,15.285,-69.048,30.8,3.7
2014-05-09T01:28:48.600000Z,16.605,-69.05,15,3.4
2014-05-09T04:10:05.100000Z,15.616,-68.836,15,3.9
2014-05-09T20:44:04.200000Z,15.466,-69.186,15,3.6
2014-05-10T01:23:06.300000Z,17.04,-70.21,112.5,2.1
2014-05-10T02:46:54.100000Z,15.666,-70.095,15,3.4
2014-05-10T18:27:21.100000Z,18.37,-73.681,22.7,3.9
2014-05-10T20:03:58.700000Z,15.452,-69.112,106,1.8
2014-05-11T05:17:08.500000Z,15.796,-69.798,50.9,1.0
2014-05-12T22:30:54.800000Z,15.48,-69.788,104.8,1.2
2014-05-13T04:34:17.100000Z,16.046,-69.301,85.8,1.9
2014-05-13T18:40:42.600000Z,15.02,-68.799,51.7,1.7
2014-05-14T01:38:05.600000Z,15.404,-69.383,15,3.5
2014-05-18T17:26:28.500000Z,17.592,-67.658,15,4.0
2014-05-19T03:52:26.100000Z,15.654,-69.619,15,2.8
2014-05-20T04:09:47.400000Z,15.522,-70.106,14.3,3.1
2014-05-20T21:06:46.000000Z,17.136,-69.454,185.1,4.5
2014-05-21T20:16:27.100000Z,15.416,-68.384,15,3.0
2014-05-23T07:46:57.700000Z,15.768,-69.632,15,3.9
2014-05-25T21:04:13.800000Z,16.207,-68.659,15,3.9
2014-05-27T15:25:39.600000Z,15.424,-68.814,31,3.9
2014-05-28T21:15:04.500000Z,17.764,-68.441,31,3.8
2014-06-02T04:46:14.800000Z,16.251,-68.009,56.6,4.1
2014-06-02T05:19:29.400000Z,17.323,-68.347,113.5,3.6
2014-06-02T05:35:39.800000Z,17.319,-68.322,189.7,4.0
2014-06-02T08:55:09.300000Z,16.785,-69.527,15,3.5
2014-06-02T13:15:21.000000Z,15.421,-69.353,15,3.8
2014-06-03T15:43:15.000000Z,17.322,-68.664,109,3.9
2014-06-03T21:48:38.700000Z,17.697,-68.115,115.7,4.2
2014-06-04T20:58:32.200000Z,15.803,-69.418,81.3,3.4
2014-06-04T22:57:25.800000Z,15.344,-68.311,15,3.4
2014-06-05T00:20:07.700000Z,15.85,-69.22,15,3.2
2014-06-09T01:23:39.900000Z,16.261,-70.01,175.3,3.2
2014-06-09T03:30:05.000000Z,20.049,-71.129,48.8,2.2
2014-06-09T04:32:17.200000Z,15.307,-68.032,82.2,1.5
2014-06-09T06:59:37.200000Z,15.949,-69.22,15,3.3
2014-06-09T09:08:35.600000Z,15.314,-70.618,39.9,3.4
2014-06-09T12:15:49.100000Z,15.071,-69.518,15,2.9
2014-06-10T06:28:07.800000Z,18.874,-65.023,31.1,2.2
2014-06-10T06:45:54.600000Z,16.788,-69.496,15,3.7
2014-06-10T06:46:10.400000Z,16.66,-70.359,109.9,3.1
2014-06-11T00:59:52.700000Z,18.83,-68.419,79.9,1.5
2014-06-11T10:01:36.600000Z,18.807,-67.362,24.3,1.2
2014-06-11T12:33:52.100000Z,15.785,-70.237,11.6,1.4
2014-06-11T13:24:14.900000Z,15.139,-69.652,50.2,1.6
2014-06-11T13:45:38.700000Z,15.579,-69.332,24.4,4.1
2014-06-14T09:33:05.100000Z,15.485,-69.356,93.2,1.4
2014-06-14T20:48:56.000000Z,15.691,-70.177,15,3.2
2014-06-15T01:16:26.400000Z,16.012,-69.65,15,3.5
2014-06-15T01:16:39.700000Z,16.061,-69.619,89.6,1.2
2014-06-16T06:38:33.100000Z,20.052,-71.259,27.5,1.1
2014-06-16T07:41:27.900000Z,16.454,-70.374,79.5,1.4
2014-06-17T00:17:43.900000Z,15.881,-68.99,15,3.5
2014-06-17T00:18:00.900000Z,15.443,-68.191,88.3,2.2
2014-06-18T08:23:02.700000Z,15.965,-68.677,83.4,1.5
2014-06-18T23:24:09.700000Z,18.595,-66.752,26.3,1.6
2014-06-19T00:23:11.700000Z,18.494,-72.812,15.9,1.2
2014-06-19T07:11:40.800000Z,15.942,-69.241,69.7,3.6
2014-06-19T08:49:27.700000Z,15.514,-69.691,15,1.7
2014-06-19T08:49:35.200000Z,15.564,-70.015,85.3,2.3
